Gene,Hazard_Ratio,p_value,Coefficient
LINC00424,0.32432193,0.01302408,-1.126018645
GPC5-IT1,0.375170032,0.017944734,-0.980375936
LINC00596,0.379819288,0.007301275,-0.968059698
LINC01685,0.435591004,0.011104152,-0.83105154
LINC02368,0.479468129,0.017840006,-0.735077854
LINC01627,0.488014991,0.035509922,-0.717409154
LINC01570,0.528605007,0.017651384,-0.637513804
LINC01307,0.528750449,0.012424394,-0.6372387
RPS6KA2-AS1,0.530091504,0.004881606,-0.634705638
LINC02325,0.534363977,6.59E-06,-0.626678068
